Item, Quantity Needed, Cost of product, Source Link
JST-XH Connector Kit, 1, $6.5, https://www.amazon.in/MTRoyaldia-560PCS-Connector-Housing-Adapter/dp/B0GTPGBC7S/ref=sr_1_36?crid=2JJFCA2LUVU7J&dib=eyJ2IjoiMSJ9.0FISInuqYmSPttfwOONyhgp1D5kT93etV_Otu0XcLahaSyiiQ_6hYEF3Pg1nXEsemUk7koh7_rLHuL1iokP3_6cknFbpmUiWc3RapYHSCjY1ostgW4rVRN9Uu5vBISnCsFUjtriwSsWJvsQzoHlFbSrzw5uaSEPQc0C21umFC4fvvk8LR7MVmcGReOdGmOOwD4TM4QIqM-tZdqj5YKz1AvdyKomBcEp072QvH08LVB8TkcD8URfpwQYQ967MPoLavtSn2laLu7UYFXNRlxZInOlkLTpHtjXE04Yco86-tMQ.NarptRt4Tl5FbUMV7aCxkiXYr0qSkErhvl8bstcFdEE&dib_tag=se&keywords=pcb+header&qid=1782783905&sprefix=pcb+header%2Caps%2C280&sr=8-36
Female Berg Strip Connector, 10, $2, https://www.amazon.in/Electronic-Spices-Female-Connector-Projects/dp/B0BG7K3NGV/ref=sr_1_7?crid=2JJFCA2LUVU7J&dib=eyJ2IjoiMSJ9.0FISInuqYmSPttfwOONyhgp1D5kT93etV_Otu0XcLahaSyiiQ_6hYEF3Pg1nXEsemUk7koh7_rLHuL1iokP3_6cknFbpmUiWc3RapYHSCjY1ostgW4rVRN9Uu5vBISnCsFUjtriwSsWJvsQzoHlFbSrzw5uaSEPQc0C21umFC4fvvk8LR7MVmcGReOdGmOOwD4TM4QIqM-tZdqj5YKz1AvdyKomBcEp072QvH08LVB8TkcD8URfpwQYQ967MPoLavtSn2laLu7UYFXNRlxZInOlkLTpHtjXE04Yco86-tMQ.NarptRt4Tl5FbUMV7aCxkiXYr0qSkErhvl8bstcFdEE&dib_tag=se&keywords=pcb%2Bheader&qid=1782784154&sprefix=pcb%2Bheader%2Caps%2C280&sr=8-7&th=1
Male Berg Strip Connector, 10, $2, https://www.amazon.in/Electronic-Spices-Strip-Headers-Sticks/dp/B0BG7K3CGM/ref=pd_bxgy_d_sccl_1/257-8741287-8008854?pd_rd_w=MJQB8&content-id=amzn1.sym.142c0d31-3594-485b-b879-def9251f61c0&pf_rd_p=142c0d31-3594-485b-b879-def9251f61c0&pf_rd_r=QV7FBWR664BPNQM9AXGB&pd_rd_wg=Uo4MI&pd_rd_r=b4113686-a546-4c84-a800-80dc6543159c&pd_rd_i=B0BG7K3CGM&psc=1
2N3906 PNP Transistor, 4, $2, https://www.amazon.in/2N3906-General-Purpose-Transistor-Package/dp/B09Z8HLFBJ/ref=sr_1_1?dib=eyJ2IjoiMSJ9.ht4WoD3f922uKXTq9yQTtJQYeqLE8GZJbMnOayd5iqjYhg_lcSONGyHSUaURJ0ZgX8Yg7BgXiSc9wxaZXfXywqZ-CmWk63A6QZkYq-C4MDCdU34Gv-OKfIXEF1C1VuFW4L-MLFO-i7F-VLG-nY1VXAkwGas3rB3nXu9LXWjyooHqDue2fzI8HbyBURdK227Q0pOiAOSzmwNTLttgswzM2IZu6KSc_Jj7kOji9ShqjKQyPGpCSrTiN6qLauWqfAysnNy0nBtVgEDmchAraS6Pk3R6WdOE8aMKVCEaP38mfGY.UEMWPk1LQsReefV_-60pn9DU82TQfw_OLc0LKK1X260&dib_tag=se&keywords=2N3906%2BPNP%2BTransistor&qid=1782791996&s=industrial&sr=1-1&th=1
2N3904 NPN Transistor, 4, $2, https://www.amazon.in/2N3904-Transistor-Pack-of-2/dp/B08NV8DRKD/ref=sr_1_2?crid=19PVDJNIQD3TL&dib=eyJ2IjoiMSJ9.shytU5yZ2xjPRX_0hj29JTe9iEADeTX3wUWtTCbj68NtKmJLSoWMsFKXfCOIvXE9h_jEjkbEaT1pkYAuGJLdycOv7YCoAbvtB8eVCyQnv3J8ikyrpy-YUHI96O1tRVmegX336cvXtbmTQxUYKqxwoDvZzn11siJCH0KqThrFHE2wTTxN5gCun0EbOV6OrBX3_JgacYrEZA2oA7lM81srXwt929gF8-ZJduqSWZpt_OPu4fQx44Rl2NgPcnyUyEVARwVnyXZF_Y6-mOXKrEaWwivwPiqikKwXAEyV1PNIm34.OYszibSWuFo0mCgP6HGMrEmvGwEYJ5XOuBICqItaqhY&dib_tag=se&keywords=2N3904+NPN+Transistor&qid=1782792013&s=industrial&sprefix=2n3906+pnp+transistor%2Caps%2C417&sr=1-2
5.6k resistors, 7, $2, https://www.amazon.in/5-6k-Ohm-Resistor-Tolerance-Pack/dp/B0DQFHWP9K/ref=sr_1_1?crid=36XQ9SKJOSUM3&dib=eyJ2IjoiMSJ9.QT_vffMoXi3oyTKLV5OHEYcfuhGOgZpcX36OTMNwzWERHR9kRG3I_nwRSxfwZO4sfccbg8jktB1EPTUcqgh6Kf2fZnsNTsNoZvxTLmfjdBs8QYvxm4UtFJOYQa0BGfd1b1Hhd8-SsJ15TkLlAtjOTFpFAKXdXWdtJcq_9hfWopButBxPG8fl5-3LSjel60LfjDt2ZZPoKAlvfi-8tSNc50FwasLW8oHhyQ3T3gNM3m5QSVvdh1NgDJa6N8p6YroO780AtsS9Jauc4QohSQrOPzh0hqHDLKwn5Zybecar044.53QbObpkK7sDNbSHagBJd5--WyN2wiThLDp_CR87unA&dib_tag=se&keywords=5.6k+resistors&qid=1782792054&s=industrial&sprefix=56k+resistors%2Caps%2C356&sr=1-1
220 resistors, 1, $2, https://www.amazon.in/Electronic-Spices-Tolerance-Through-Resistors/dp/B0BDG2F7FL/ref=sr_1_3?crid=3U1VAZBTNXP2I&dib=eyJ2IjoiMSJ9.ZkvI2rFKqF9ZbS6rQQdsLaXmwbJsNbSp1UgHiOVjOfPWBr5iXDVtffUwFUTd1h4MVA_IUDs0nCGu2rm3uOCsy5IQ3QcZh4_wymjoKiyOauYd8yL0amYD8txxNbWGKS6pgfMmST8sFw6CfL70I1Avxza3y__Ijv7YSEuWBq8kj3FsVdF7JzgCb53iya20t1X38kibHgFP2lQ3K-eJ1FFaXTztUSLNkKtKvDNSI2ngoTEfjdEkDBmQsdcb1XA2y3NCWSGoY_vFAnaqnwaDPLdCatD8JCaFFDXQRjqpheVwVnA.dLApDPG75N8GHEXELgo0BTu21x1QzeSThzeYlDFFEv0&dib_tag=se&keywords=220+resistors&qid=1782792074&s=industrial&sprefix=2+resistors%2Caps%2C355&sr=1-3
12k resistors, 2, $2, https://www.amazon.in/12k-Ohm-Resistor-Tolerance-Pack/dp/B0DQFLY6Z2/ref=sr_1_1?crid=2NUUQNVX4JEJU&dib=eyJ2IjoiMSJ9.Q6a-ehBwOY_rT-WyNlqHUd-enIkUlLbbizcayfds0x1p4o4spSC6up4Y6E4PdOeuU6Yc0XO1qvi9HCvhvFC2xyzT-u6ihZ6uYsn2Zojxr1ROeTp9fGKIK2BNQ5mAEfXW4ZZUjT5nOjAsNCwl-C3k7FTCE6E2XBP-qa8ddVftxzVAstJA-ZPwiqd0XUBCWsttHThM3pcMY4LTiKMLr169zNwGHYfndTxd4mwims1xR0AFn1IQyq8a11n_Ost7oUDtGXaFaOfl9_d96E5EJ2-WYwZlS9mGqkSM_BuFhvnTN2E.0RzZ5rpUHDCs-HUauzMjZpjPWRrbn4FIOiCbNotOHIc&dib_tag=se&keywords=12k+resistors&qid=1782792110&s=industrial&sprefix=12+resistors%2Caps%2C347&sr=1-1
1.8k resistors, 2, $2, https://www.amazon.in/1-8k-Ohm-Resistor-Tolerance-Pack/dp/B0DQFFJXKB/ref=sr_1_1?crid=BC5BSGFRMHQ0&dib=eyJ2IjoiMSJ9.J62j0F6reIrNitaEAKUiI-RUxrf0eDxBx3o-O7Wk8TmoURfVJlDUp-Sh1rTyw2qRhIA98Tf0BjJc3HjFQCdA-DIdlgtSaS8ezeyHSRDkQmBx17gz0KRjDietBsAAYbRdyjNFPlSdbYRekLwTOEieqXBQHFUIdPd4DBMn5g6L6l8eO6XN9oOVsna1vbL6OCbrsrPAk7Y79mdX9vWQxy9o2ppmmp-MTYVwBDmeD0bvXAoKjSb63oZ8RG9k6vo8bZJwYa87e1gfAeX9f7yVd7hvLIdjjFD0u4P6GNKTT5SHTlY.csIcsxqeQLlc1KHbTWPnyQVWILHkRgHXB8LzS15m2QM&dib_tag=se&keywords=1.8k+resistors&qid=1782792142&s=industrial&sprefix=12k+resistors%2Caps%2C353&sr=1-1
MT3608 Module, 1, $3, https://www.amazon.in/Voltage-Booster-Adjustable-converter-Regulator/dp/B0C39FRFM8/ref=sr_1_2?crid=2FJAOV69VEOIW&dib=eyJ2IjoiMSJ9.aj0yxSqsN7nanbllQ3ZMibp_D5FYmXAG6U9mUhOzNMgkh0jrM-hyZwGfDEdD7UXywa4H7EoRScdSwjlK3TbtUeIPHt82D9iZ8Frlr5cg_WuUAa74YHmrqUD7mldnYeL46oy7vHK2gXUpt3lghAFGAzB1jXw-22RSLKAqMwkLDW5kQ5kQdyA-mqVBAFH8USwrsNVY7YxM39Zu2-mPNrY4VzxkgWw34TkIgUsuEGcr2tQ.5UPHV0Sy9bNI_7N_aYw8ALkQOYl4j4e2pcJNYJ6_lww&dib_tag=se&keywords=MT3608+Boost+Module&qid=1782784720&refinements=p_85%3A10440599031&rnid=10440598031&rps=1&sprefix=esp8266+01%2Caps%2C290&sr=8-2
